lemma	rank	occurrences
terminar	386	703
ocurrir	387	702
importar	388	699
alegria	389	699
feliz	390	693
posible	391	692
ganar	392	689
natural	393	688
igual	394	687
diez	395	687
es	396	685
meter	397	685
semejante	398	684
detras	399	683
todavia	400	683
continuar	401	683
vn	402	679
sufrir	403	676
sangre	404	675
dicho	405	675
gracia	406	673
ventana	407	670
memoria	408	670
cerrar	409	668
olvidar	410	666
estado	411	664
justo	412	662
abajo	413	660
viento	414	659
beber	415	659
presente	416	658
rato	417	652
pais	418	651
derecho	419	650
encima	420	648
suceder	421	647
partir	422	639
esposa	423	637
animo	424	636
considerar	425	634
cuidado	426	633
pagar	427	632
cabello	428	630
mover	429	630
forma	430	628
arma	431	628
pan	432	628
marchar	433	628
deir	434	628
enviar	435	626
contemplar	436	624
vino	437	622
rojo	438	621
terrible	439	619
permanecer	440	619
fortuna	441	613
arriba	442	611
valor	443	609
huir	444	608
presentar	445	606
principio	446	605
golpe	447	605
ropa	448	603
frio	449	603
dirigir	450	600
papel	451	600
bastar	452	599
tia	453	598
cinco	454	598
secreto	455	593
observar	456	593
fondo	457	592
ocasion	458	592
azul	459	591
labio	460	591
conseguir	461	590
hombro	462	586
grupo	463	584
lengua	464	584
escapar	465	580
profundo	466	580
traves	467	576
pasado	468	575
debajo	469	574
acordar	470	571
letra	471	571
completamente	472	567
noticia	473	564
mantener	474	563
permitir	475	563
par	476	562
ah	477	562
esperanza	478	561
necesidad	479	560
soldado	480	559
remedio	481	559
peligro	482	559
efecto	483	557
usar	484	556
piedra	485	554
humano	486	553
oer	487	552
carne	488	551
dedo	489	549
favor	490	549
tono	491	549
abierto	492	547
contrario	493	544
romper	494	544
valer	495	542
loco	496	542
proposito	497	542
pastora	498	542
sentido	499	540
ayudar	500	540
jugar	501	539
criado	502	538
regresar	503	536
seis	504	535
real	505	535
escalera	506	534
hermosura	507	534
silla	508	532
acaso	509	531
publico	510	531
ansi	511	531
adonde	512	530
perro	513	527
pared	514	527
fe	515	527
sonrisa	516	527
medico	517	526
pregunta	518	522
aventura	519	521
buena	520	519
pretendiente	521	519
sentimiento	522	517
espalda	523	516
asunto	524	516
sombra	525	515
ventura	526	515
bosque	527	513
tirar	528	512
grito	529	512
crecer	530	511
casar	531	510
gloria	532	509
pierna	533	508
seguido	534	507
sombrero	535	506
edad	536	506
procurar	537	506
huesped	538	505
nacer	539	505
cumplir	540	505
conversacion	541	501
figura	542	501
alzar	543	500
mozo	544	500
expresion	545	499
libertad	546	497
animal	547	497
replicar	548	495
duque	549	494
alguien	550	493
grave	551	492
arte	552	491
volar	553	489
cambiar	554	489
formar	555	486
peor	556	486
costumbre	557	485
atencion	558	485
lograr	559	484
reconocer	560	481
virtud	561	480
cuello	562	479
tampoco	563	479
sitio	564	478
criatura	565	478
heroe	566	478
suponer	567	477
aspecto	568	477
sala	569	477
cortar	570	476
risa	571	475
amo	572	475
doncella	573	474
placer	574	473
supuesto	575	472
temblar	576	472
sonar	577	472
enfermo	578	471
imaginar	579	470
fuente	580	469
batalla	581	465
cuento	582	463
gozar	583	462
llamado	584	460
notar	585	460
naturaleza	586	460
arrojar	587	458
mitad	588	457
famoso	589	457
negocio	590	456
atras	591	456
vestir	592	455
presencia	593	455
intentar	594	454
ruido	595	454
declarar	596	454
bolsillo	597	453
causar	598	453
suave	599	450
lanzar	600	450
palido	601	450
prometer	602	450
ordenar	603	449
respuesta	604	449
noble	605	449
clase	606	448
existir	607	448
intencion	608	447
fiesta	609	447
pajaro	610	446
serio	611	446
producir	612	445
general	613	444
castillo	614	443
temor	615	443
rapido	616	442
falta	617	441
esfuerzo	618	441
coche	619	441
menudo	620	440
frances	621	440
exclamar	622	440
novela	623	440
principal	624	439
enamorado	625	439
juego	626	438
paz	627	436
traje	628	436
sabio	629	436
verso	630	436
maestro	631	435
siquiera	632	434
brillante	633	434
hambre	634	433
bonito	635	433
existencia	636	432
cruel	637	431
acudir	638	430
advertir	639	430
hoja	640	429
plata	641	429
comida	642	429
dello	643	428
agradable	644	427
veces	645	426
repetir	646	425
oido	647	424
chico	648	423
quizas	649	422
amarillo	650	422
inmediatamente	651	422
ocupar	652	421
autor	653	420
canto	654	420
poeta	655	420
emocion	656	419
nave	657	419
cambio	658	418
cubierto	659	418
contestar	660	418
ley	661	416
gesto	662	415
imposible	663	412
consejo	664	411
repente	665	410
alcanzar	666	410
musica	667	410
mia	668	409
fresco	669	409
final	670	408
curiosidad	671	407
aprender	672	406
comprar	673	403
alegrar	674	403
orilla	675	401
vaya	676	400
coger	677	400
merecer	678	400
rincon	679	400
parar	680	399
tranquilo	681	397
tornar	682	397
entero	683	396
conciencia	684	396
tipo	685	395
besar	686	394
condicion	687	394
espacio	688	393
tristeza	689	393
puro	690	392
desaparecer	691	392
menor	692	391
probar	693	388
discreto	694	388
ancho	695	387
culpa	696	387
callar	697	387
perdido	698	386
recoger	699	386
enorme	700	386
asegurar	701	385
madera	702	384
ocho	703	384
bello	704	384
juez	705	383
nube	706	383
taberna	707	383
vecino	708	383
decidir	709	381
gracioso	710	381
movimiento	711	381
desgracia	712	381
entregar	713	380
llenar	714	380
firme	715	378
cruzar	716	377
dorado	717	376
brillar	718	375
rodilla	719	374
iglesia	720	372
poderoso	721	372
belleza	722	371
interes	723	370
explicar	724	370
barba	725	370
extremo	726	369
nariz	727	369
raso	728	369
avanzar	729	368
realmente	730	367
dormido	731	367
representar	732	367
caracter	733	367
quanto	734	367
quiza	735	365
curioso	736	364
siglo	737	364
abandonar	738	363
seco	739	363
veinte	740	363
digno	741	363
apartar	742	362
cansado	743	362
corto	744	362
sostener	745	361
objeto	746	361
santo	747	360
amiga	748	360
conducir	749	360
tercero	750	358
aleman	751	358
semana	752	357
colocar	753	357
despedir	754	357
siete	755	356
salud	756	356
artista	757	356
anciano	758	355
periodico	759	354
mejilla	760	354
asiento	761	354
extender	762	352
espada	763	351
hierba	764	351
visita	765	351
pasear	766	351
facil	767	350
obligado	768	350
miseria	769	349
poseer	770	349
resultar	771	348
convenir	772	348
contener	773	348
mesmo	774	348
soltar	775	347
escudero	776	347
sorpresa	777	346
mortal	778	346
silencioso	779	344
proximo	780	344
escuela	781	344
fama	782	344
quar	783	344
raro	784	343
bailar	785	343
diente	786	342
cubrir	787	342
completo	788	342
recuerdo	789	341
torno	790	341
juzgar	791	339
doce	792	338
aceptar	793	338
arco	794	338
opinion	795	338
numero	796	338
descansar	797	337
teatro	798	337
bondad	799	337
visto	800	337
dificil	801	336
miserable	802	336
cerrado	803	335
necesario	804	335
ala	805	334
salon	806	334
estudio	807	333
punta	808	331
riqueza	809	331
desto	810	331
eh	811	330
hogar	812	330
frase	813	329
convertir	814	328
rapidamente	815	328
padecer	816	328
lago	817	327
menester	818	326
diferente	819	325
pelo	820	325
costar	821	325
negar	822	324
arrastrar	823	323
elegante	824	322
gris	825	322
respeto	826	322
satisfecho	827	321
ayer	828	321
tren	829	321
adios	830	319
solamente	831	319
isla	832	318
cena	833	317
obligar	834	317
rayo	835	317
inclinar	836	317
prestar	837	317
confesar	838	317
preparar	839	316
yacer	840	316
patio	841	316
calor	842	316
cancion	843	316
admirar	844	316
evitar	845	314
llave	846	314
retrato	847	314
amistad	848	314
impresion	849	313
infinito	850	313
especie	851	312
interior	852	312
cuerda	853	311
inmediato	854	310
diablo	855	310
linea	856	310
acto	857	310
esposo	858	310
enfermedad	859	309
imagen	860	308
finalmente	861	308
cafe	862	308
proponer	863	308
plaza	864	308
sacudir	865	307
aca	866	307
tesoro	867	306
monte	868	306
ligero	869	306
cristal	870	306
murmurar	871	306
comun	872	305
juicio	873	305
principe	874	305
viajero	875	304
estacion	876	304
tardar	877	303
tender	878	303
gana	879	303
saludar	880	303
discurso	881	302
ciego	882	302
agitar	883	302
dudar	884	302
escena	885	301
robar	886	301
doctor	887	301
humilde	888	301
distancia	889	300
termino	890	300
suceso	891	299
genero	892	299
encender	893	298
duquesa	894	298
pertenecer	895	297
valiente	896	297
asombro	897	297
carrera	898	297
fino	899	296
cuidar	900	296
molestar	901	296
vender	902	296
resto	903	295
veras	904	295
gracias	905	295
pluma	906	295
bestia	907	295
ocultar	908	295
copa	909	294
reina	910	294
do	911	294
rogar	912	293
delicado	913	293
agudo	914	292
vela	915	291
ejemplo	916	291
particular	917	291
locura	918	291
hierro	919	290
adivinar	920	290
moza	921	290
matrimonio	922	290
dispuesto	923	289
carro	924	289
pretender	925	289
rodar	926	288
oscuro	927	288
oficial	928	288
encantador	929	288
problema	930	287
tan	931	287
arreglar	932	287
luna	933	287
gato	934	287
has	935	287
perdonar	936	287
figurar	937	287
relacion	938	287
conocido	939	287
limpio	940	286
felicidad	941	286
estancia	942	286
colgar	943	285
banco	944	285
accion	945	285
lentamente	946	285
admiracion	947	285
absoluto	948	284
encantado	949	284
juventud	950	284
acerca	951	284
vano	952	284
corriente	953	283
entrada	954	283
oficio	955	283
servicio	956	283
andante	957	283
jurar	958	282
